series_id,series_name,source_name,country_id,country_name,region,income_group,year,value
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1993,10399.279217
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1994,10963.303828
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1995,11444.26921
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1996,12580.068645
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1997,12623.542665
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1998,12996.854098
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1999,12753.680482
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2000,12610.343504
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2001,12609.346474
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2002,12437.664614
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2003,12219.447796
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2004,12444.521973
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2005,12390.187306
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2006,12382.051026
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2007,13442.187041
